Date,Open,High,Low,Close,Shares Traded,Turnover(₹ Cr)
29-May-18,11034.35,11065.05,10962.55,10983.3,472993464,16450.17
30-May-18,10925.55,10996.7,10910.85,10961.6,440087878,16463.08
31-May-18,11016.35,11089.1,10961.4,11064.15,968520034,41035.92
01-Jun-18,11068.3,11096.95,11001,11013.85,407913564,16591.86
04-Jun-18,11083.35,11087.1,10931.45,10940.05,384246976,17737.75
05-Jun-18,10941.7,10944.25,10852.2,10892.85,363062530,13470.57
06-Jun-18,10903.2,11010.1,10889.65,10997.2,366431422,13297.76
07-Jun-18,11037.9,11134.5,11037.9,11091.95,404957186,14617.61
08-Jun-18,11059.3,11108.6,11035.95,11098.25,409987829,15976.9
11-Jun-18,11115.7,11179.6,11106.3,11116.2,397366998,14798.91
12-Jun-18,11144.4,11189.9,11119.35,11176.7,377012998,15391.47
13-Jun-18,11219.75,11226,11176.05,11185.9,393342965,16520.25
14-Jun-18,11165.35,11166,11101.4,11139.95,342099427,14976.51
15-Jun-18,11139.25,11162.15,11078.3,11136.3,500694338,23576.81
18-Jun-18,11148.4,11148.4,11102.75,11112.9,324749555,13767.26
19-Jun-18,11100.4,11100.4,11012.45,11021.95,379700828,15507.72
20-Jun-18,11047.85,11087.5,11030.95,11076.05,357334883,14364.83
21-Jun-18,11113.25,11115,11025.9,11039.95,370538278,15438.27
22-Jun-18,11041.15,11134.45,11001.05,11119.65,376245742,16635.58
25-Jun-18,11120.95,11127.6,11034.95,11045.45,386836056,14989.17
26-Jun-18,11025.6,11091.4,11016.1,11054.1,406789001,15784
27-Jun-18,11072.1,11072.1,10927.9,10946.7,429810297,17441.57
28-Jun-18,10934.8,10951.35,10827.15,10855,590628884,24695.36
29-Jun-18,10884.15,11000.2,10883.65,10993.45,430645792,18275.85
02-Jul-18,11013.1,11015.6,10874.95,10929.85,473960827,16763.29
03-Jul-18,10940.75,10985.65,10899.1,10974.2,357455313,13956.57
04-Jul-18,10986,11040.6,10944.2,11033,323739944,14928.07
05-Jul-18,11049.65,11049.65,10989.95,11008.6,373025504,17096.39
06-Jul-18,11001.65,11084.8,10991.8,11037.2,440793364,17691.78
09-Jul-18,11104.5,11126.35,11074.05,11119.55,319652804,13321.19
10-Jul-18,11170.7,11227.75,11147.65,11218.65,360525058,16376.26
11-Jul-18,11225.75,11244.25,11191.75,11206.85,380359896,19245.6
12-Jul-18,11266.05,11333.8,11258.95,11269.7,420882166,19422.2
13-Jul-18,11302.75,11313.95,11240.05,11258.7,401352596,17825.38
16-Jul-18,11260.75,11261.05,11140.25,11151.1,383047338,16985.07
17-Jul-18,11155.65,11240.9,11138.85,11230.7,441959532,16536.43
18-Jul-18,11283.25,11298.2,11163.95,11189.1,553896048,18311
19-Jul-18,11209.45,11214.5,11137.95,11160.5,500414998,16397.75
20-Jul-18,11166.45,11232.35,11145.95,11215.8,374909768,17383.42
23-Jul-18,11230,11314.9,11222.05,11306.95,442525231,19181.87
24-Jul-18,11332.85,11395.15,11329.1,11389.2,545620992,20399.88
25-Jul-18,11404.9,11413.15,11364.8,11385.5,469790676,17500.71
26-Jul-18,11390.45,11450.7,11388,11431.15,699517047,28770.23
27-Jul-18,11495.8,11547.3,11476.8,11542.35,591432626,19725.86
