Date,Open,High,Low,Close,Shares Traded,Turnover(₹ Cr)
15-Jun-18,5052.35,5068.65,5002.25,5026.15,187932092,3990.38
18-Jun-18,5028.6,5050,4998.35,5012.55,145806174,2618.37
19-Jun-18,4995.5,5004,4927.25,4945.05,169325389,3106.05
20-Jun-18,4948.65,4979.75,4933.55,4977.45,138065070,2803.53
21-Jun-18,4991.25,4993.8,4935.3,4943.4,154465033,2986.55
22-Jun-18,4945.4,4965.55,4904.05,4962.1,182723575,3402.58
25-Jun-18,4961.9,4987.6,4931,4941.25,154257542,2928.01
26-Jun-18,4926.45,4955.95,4909.9,4942.15,202416086,3171.75
27-Jun-18,4948.45,4948.45,4832.8,4857.1,222190743,3686.52
28-Jun-18,4847.5,4852.2,4741.8,4754.4,449545878,5274.51
29-Jun-18,4779,4856.1,4778,4850.7,257744107,3590.72
02-Jul-18,4874.1,4874.1,4777.35,4820.75,258993207,3823.39
03-Jul-18,4811.85,4892.25,4796.2,4883.8,202185757,3209.17
04-Jul-18,4891.2,4904.8,4860.35,4899.05,189232359,3081.42
05-Jul-18,4909,4911,4835,4843.8,180318455,2859.74
06-Jul-18,4839.65,4905.15,4835.3,4877.85,213753091,3300.19
09-Jul-18,4910,4973.8,4906.1,4968.8,165541822,3249.7
10-Jul-18,4990.95,5010.55,4978.85,4999.8,220064207,3307.55
11-Jul-18,4993.75,5005.9,4942.8,4955.85,371478693,3561.61
12-Jul-18,4985.5,5005.1,4919.9,4930.8,314286086,3674.31
13-Jul-18,4946,4947,4853.55,4864.55,314844842,3552.73
16-Jul-18,4857.6,4857.6,4725.05,4729.35,319429611,3951.08
17-Jul-18,4727.6,4886.4,4706.8,4882.7,413603310,4914.03
18-Jul-18,4908.75,4923.3,4754.6,4801.75,310444422,4025.37
19-Jul-18,4808.2,4810.8,4713.45,4761.05,297139064,4938.37
20-Jul-18,4753.35,4807.85,4734.75,4798.1,328493238,3982.33
23-Jul-18,4813.05,4849.25,4754.25,4844.55,347460435,4086.38
24-Jul-18,4851.2,4909.1,4836.3,4899,302823409,3885.41
25-Jul-18,4912.35,4932,4880.25,4891.05,261939941,3803.97
26-Jul-18,4900.4,4944.4,4893.2,4933.1,370168641,5311.53
27-Jul-18,4953.9,5003.4,4953.85,4983.1,271978862,4692.61
30-Jul-18,4993.05,5003.8,4957.55,4996.35,299480210,4003.49
31-Jul-18,5002.55,5021.65,4981.55,5010.9,349637896,4470.52
01-Aug-18,5027.05,5043.15,4979.85,4997,329666356,5038.63
02-Aug-18,4993.15,5031.05,4937.05,4997.8,279085124,4098.74
03-Aug-18,5020.3,5064.75,5017.85,5039.4,276581584,4143.98
06-Aug-18,5066.85,5078.4,5028.25,5050,241757247,4034.72
07-Aug-18,5066.1,5069.85,4992.35,5020.05,259206401,3852.09
08-Aug-18,5029.85,5042.5,5009.8,5025.9,253513334,3667.26
09-Aug-18,5052.55,5076.9,5036.5,5065.75,315491207,4421.23
10-Aug-18,5076.5,5083.2,5027.3,5037.65,279805905,4205.76
13-Aug-18,5001.25,5057.6,4974.7,5021.7,230251920,4246.04
14-Aug-18,5038.55,5103.15,5029.15,5095,218497488,5009.84
16-Aug-18,5078.55,5131.2,5066.45,5102.5,240016565,4412.52
17-Aug-18,5129.65,5166.85,5125.7,5162.9,303232714,4767.89
20-Aug-18,5183.2,5227.45,5178.7,5223.95,305505172,5292.92
21-Aug-18,5240.95,5246.2,5214.05,5229.05,231492233,4442.44
23-Aug-18,5243.9,5243.9,5180.9,5223.15,189688117,3760.9
24-Aug-18,5222.95,5253.7,5183.05,5220.1,178243432,3730.48
27-Aug-18,5250.65,5290.9,5240.05,5280.75,211624757,3887.84
28-Aug-18,5294.7,5304.75,5252.4,5272.55,278950269,4054.26
29-Aug-18,5281.25,5349,5279.4,5321.4,293416732,4858.86
30-Aug-18,5331.15,5350.95,5307.5,5330.45,310161418,5600.81
31-Aug-18,5330.1,5366.85,5302.95,5345.45,270638076,6360.32
03-Sep-18,5375.85,5387.9,5298.65,5311.3,261092634,4966.72
04-Sep-18,5317.85,5322.75,5133.85,5147.55,262002013,4540.94
05-Sep-18,5139.55,5172.6,5041.45,5139.7,257609394,5318.68
06-Sep-18,5170.6,5179.3,5099.65,5155.05,213997887,4770.82
07-Sep-18,5160.75,5241,5130.6,5233.9,190902094,4113.15
10-Sep-18,5225.55,5248.65,5109.2,5120.15,182716545,3784.6
11-Sep-18,5132.95,5152.85,5043.1,5052.1,199921004,4218.83
12-Sep-18,5060.55,5098.15,4982.5,5083.65,209298263,4193.22
14-Sep-18,5117.4,5188.8,5117.4,5183.05,172454231,4056.72
17-Sep-18,5163.7,5184.3,5115.35,5153.8,179515376,3951.69
18-Sep-18,5157.9,5181.25,5069.05,5077,222027530,4382.07
19-Sep-18,5106.85,5120.2,5013.7,5043.15,199540814,4109.4
21-Sep-18,5082.25,5096.55,4624.9,4892.65,466004184,10205.53
24-Sep-18,4913.1,4920.5,4756.55,4780.4,324858632,6701.98
25-Sep-18,4770.65,4832.2,4702.8,4807.95,395840539,8115.34
26-Sep-18,4846.05,4862.4,4791.05,4837.55,291261139,5535.4
27-Sep-18,4840.3,4844.85,4722.85,4729.4,284783262,5183.75
28-Sep-18,4753.2,4764.75,4571.65,4622.85,373836822,5696.63
01-Oct-18,4611.95,4721.65,4502.7,4711.7,296926163,4873.96
03-Oct-18,4696.6,4733.15,4638.05,4650.45,301963310,4855.4
04-Oct-18,4584.2,4624.7,4504.3,4553.3,275057433,4081.19
05-Oct-18,4530.15,4553.75,4382.45,4407.5,260043574,3813.21
08-Oct-18,4379.95,4433.45,4288.8,4367.1,324285193,5049.94
09-Oct-18,4377.2,4414.3,4307.8,4368.55,258659146,4309.12
10-Oct-18,4380.75,4584.85,4380.55,4574.85,294865145,5003.82
11-Oct-18,4399.45,4539.4,4382,4434.55,256394303,4537.27
12-Oct-18,4480.65,4583.35,4479.9,4561.4,240096606,3920
15-Oct-18,4586.85,4606.55,4526.8,4592.3,199867881,3283.89
16-Oct-18,4616.4,4653.05,4602.75,4649.15,250910234,3919.13
17-Oct-18,4699.8,4704.05,4531.35,4538.65,250434620,4189.96
19-Oct-18,4503.95,4552.25,4428.3,4490.25,277378309,4903.87
22-Oct-18,4519.8,4528.65,4436.3,4446.8,242695514,4131.97
23-Oct-18,4407.85,4464,4367,4412.35,235108652,4386.24
24-Oct-18,4456.8,4490.9,4420.65,4481.85,218807694,4333.88
25-Oct-18,4432.5,4495.25,4410.25,4462.35,366309599,5305.08
26-Oct-18,4459.8,4510.8,4384.9,4444.4,251782148,3708.93
29-Oct-18,4457.8,4620.75,4439.7,4614.45,285738064,4628.37
30-Oct-18,4619.7,4682.4,4604.85,4653.4,353727417,5739.97
31-Oct-18,4678.9,4734.9,4618.95,4730.9,273135005,5234.29
01-Nov-18,4742.85,4785.75,4730.75,4758.5,234032273,4618.66
02-Nov-18,4810.35,4875.1,4765.9,4781.5,354636192,5879.19
05-Nov-18,4775.3,4806.05,4736.85,4766.25,236359755,4015.44
06-Nov-18,4777.65,4796.15,4733.8,4745.45,195611412,3948.85
07-Nov-18,4780.35,4783.95,4763.85,4773,25803959,540.26
09-Nov-18,4775.75,4838.05,4760.8,4830.6,212475974,4262.88
